fof_halo_tag,A1,A0,B1,B0,C1,C0,D1,D0
176053957520,False,True,False,False,False,False,False,False
46516129022,True,False,True,False,False,True,True,False
6185393876,False,True,False,False,False,False,False,False
139867362318,True,False,True,False,False,True,True,False
325290323884,True,False,True,False,True,False,True,False
218256424602,True,False,True,False,True,False,False,True
238918584720,True,False,True,False,False,True,True,False
356083716808,True,False,True,False,False,True,False,True
794559380126,True,False,True,False,True,False,True,False
911405127266,True,False,True,False,False,True,False,True
800917945754,True,False,True,False,False,True,True,False
548497331896,True,False,True,False,False,True,False,True
746645864256,True,False,True,False,False,True,False,True
637103631564,True,False,True,False,False,True,True,False
549457327072,False,True,False,False,False,False,False,False
613278695874,True,False,True,False,False,True,False,True
834583356402,True,False,False,True,False,True,False,True
974933596592,True,False,True,False,True,False,False,True
888564100486,True,False,True,False,False,True,True,False
824433048974,True,False,True,False,True,False,True,False
866951044090,True,False,True,False,False,True,False,True
503414684562,True,False,True,False,False,True,False,True
530094201890,True,False,True,False,True,False,True,False
844750953026,True,False,True,False,True,False,True,False
819675567840,True,False,True,False,False,True,False,True
1191429792868,True,False,True,False,False,True,True,False
1270496530952,True,False,True,False,True,False,True,False
1271446999868,True,False,True,False,True,False,True,False
1489570892640,True,False,True,False,False,True,False,True
1153023304498,True,False,True,False,True,False,True,False
1179059440846,True,False,True,False,False,True,True,False
1490858938956,True,False,True,False,True,False,True,False
1017108970208,True,False,True,False,True,False,True,False
1056159470644,False,True,False,False,False,False,False,False
1133642616394,True,False,True,False,False,True,True,False
1347960148046,True,False,True,False,False,True,True,False
1437817552150,True,False,True,False,False,True,False,True
1278746432780,False,True,False,False,False,False,False,False
1380671336426,True,False,True,False,True,False,True,False
1280640289728,True,False,True,False,True,False,True,False
1293669370006,True,False,True,False,True,False,True,False
1428937501414,True,False,True,False,True,False,True,False
1246065812976,True,False,True,False,False,True,False,True
1149535726534,True,False,True,False,True,False,True,False
1100312441016,True,False,True,False,True,False,True,False
1021885379518,True,False,True,False,True,False,True,False
1201600287680,True,False,False,True,False,True,False,True
1014277398514,True,False,True,False,True,False,True,False
1353379886880,True,False,True,False,True,False,True,False
1345444331222,False,True,False,False,False,False,False,False
1438477364150,True,False,True,False,False,True,False,True
