# Halo group IDs for phase6_stacked_profiles_comprehensive.png
# Catalog: filtered_haloproperties.hdf5  (run_id 5ee0c456)
# Thresholds: delta1<0.07 (R1), delta2<0.07 (R2),
#             K_core<150 keV cm2 (R3), TPI>0 (R4)
# Columns: row_index  fof_halo_tag  unique_tag  delta1  delta2  K_core  TPI
#

# ── R1  (4,640 halos) ──────────────────────────────
# Description: All DM-relaxed halos (delta1 < 0.07)
# N = 4,640
#  row_index    fof_halo_tag      unique_tag     delta1     delta2      K_core        TPI
         549   1186049797596   1186049797596    0.02139    0.01797     169.726     0.6484
         552   1383862640228   1383862640228    0.06113    0.03670     181.867     1.9518
         553   1122516617260   1122516617260    0.06991    0.06054     244.586     0.3646
         555   1315894739394   1315894739394    0.02851    0.04703     132.919     0.4534
         556   1316202582756   1316202582756    0.04758    0.02391      66.189     0.9557
         557   1281278785102   1281278785102    0.03614    0.03569     116.202     1.4758
         558   1033630320288   1033630320288    0.02101    0.05558      82.912    -0.4405
         559   1123817718264   1123817718264    0.03801    0.06600     174.061    -0.8084
         562   1293376296654   1293376296654    0.06787    0.03886     169.718     0.5039
         563   1411489100446   1411489100446    0.03118    0.03186     205.681    -0.2273
         564   1459753955030   1459753955030    0.05923    0.04141      76.899     0.2187
         568   1999196114642   1999196114642    0.05235    0.04054      60.844     1.2295
         569   1873781737878   1873781737878    0.02062    0.02615     139.883     0.0943
         570   1601353709928   1601353709928    0.05192    0.03429     215.447    -3.1027
         574   1959211148090   1959211148090    0.06021    0.03245     133.701     0.0541
         578   1528623588020   1528623588020    0.02702    0.03219     108.469    -0.5453
         579   1642936306818   1642936306818    0.04733    0.02677     198.703     1.4510
         581   1521645607620   1521645607620    0.05569    0.07929     222.429    -0.8816
         584   1896637836312   1896637836312    0.02507    0.04262      99.031     2.5271
         585   1835985720726   1835985720726    0.03021    0.02103     135.134    -0.7300
         588   1738842240680   1738842240680    0.06689    0.03724     155.439     1.3012
         590   1790612037444   1790612037444    0.06156    0.04518     164.972     0.1690
         592   1162560500250   1162560500250    0.03657    0.03582      82.415     0.7263
         595   1444199883432   1444199883432    0.05824    0.05879     153.525     0.2246
         598   1232449246390   1232449246390    0.05490    0.06881      85.560     1.2014
         603   1004761679202   1004761679202    0.05145    0.02512     182.124     0.5145
         604   1041287315942   1041287315942    0.06515    0.07540     133.854     0.7279
         608   1019710773392   1019710773392    0.04836    0.04885      54.679     2.0351
         610   1332782393274   1332782393274    0.06845    0.07429      99.205    -1.1106
         613   1291497586426   1291497586426    0.02294    0.06510     141.780     1.9534
         614   1254032721790   1254032721790    0.04185    0.06868     282.721    -1.3978
         621   1708083348258   1708083348258    0.06083    0.03249      84.169     0.6451
         624    192738729250    192738729250    0.02603    0.03667     226.191     1.0655
         627    162897141734    162897141734    0.05792    0.06362     489.006    -1.8283
         629     43839640444     43839640444    0.03848    0.09953     254.080    -0.7628
         632    373439966012    373439966012    0.06331    0.01734      90.438     0.1492
         634     45106320350     45106320350    0.04992    0.01805     161.668     0.2516
         635    465816892748    465816892748    0.02993    0.03684     162.443    -4.9179
         637    484551404836    484551404836    0.05200    0.01584     154.159     1.4836
         638    180698044926    180698044926    0.03399    0.07393     134.090     0.4749
         644    727465668524    727465668524    0.02527    0.07126     215.797    -0.8957
         645    746519111572    746519111572    0.06338    0.00809     284.037    -2.9448
         647    927826483686    927826483686    0.05597    0.08925     104.523     1.2278
         648    965924121560    965924121560    0.03076    0.03623      55.280     2.4932
         649    602028461590    602028461590    0.04645    0.02624     109.835    -0.6288
         654    712543439988    712543439988    0.04834    0.05531     227.993     0.9706
         656    943379925200    943379925200    0.02902    0.04408     168.451    -1.2910
         657    160404307062    160404307062    0.02454    0.03982      93.214     8.8033
