# Full shortlist: 30 extreme halos per group (32 groups total)
# Catalog: filtered_haloproperties.hdf5  (run_id 5ee0c456)
# Thresholds: delta1<0.07 (R1), delta2<0.07 (R2), K_core<150 keV cm2 (R3), TPI>0 (R4)
# N per group: 30
#
# SECTION 1: Individual criteria (8 groups)
# SECTION 2: Pairwise criteria (24 groups: pairs {R1,R2},{R1,R3},{R1,R4},{R2,R3},{R2,R4},{R3,R4})
#

# ── R1  (group size: 4,640; showing 30 extreme) ─────────────────
# DM-relaxed (delta1 < 0.07); sorted by smallest delta_1
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
    13      8384   1675413304858   1675413304858   0.06958   0.03642   3793.557   -2.9050
    14      9674   2156200597864   2156200597864   0.15886   0.09420   3552.808   -2.5804
    15      4105   2221649011684   2221649011684   0.10120   0.03344   3491.871   -0.0419
    16      2897    663224742464    663224742464   0.08400   0.08190   3413.545   -2.9020
    17      9060   2286092606616   2286092606616   0.07682   0.05785   3248.527    0.5454
    18      6562   2066505729292   2066505729292   0.06226   0.06510   3234.120   -2.6805
    19      4858   3578704272664   3578704272664   0.00873   0.02692   3171.247    3.8857
    20      5495   1144792216586   1144792216586   0.04033   0.02741   3166.208   -0.9756
    21      6914   2439567112942   2439567112942   0.10094   0.05326   3078.448   -1.2000
    22       816   1955294795612   1955294795612   0.08094   0.08199   2934.269   -2.8588
    23      8366   1097858762876   1097858762876   0.04298   0.02376   2917.959   -0.3815
    24      7691    995945494332    995945494332   0.08609   0.05743   2873.665   -0.5696
    25      9064   2667410916068   2667410916068   0.16116   0.03523   2866.717   -5.6308
    26      4029   3225575838888   3225575838888   0.06052   0.03766   2836.013    2.7309
    27      9567   3183689522150   3183689522150   0.08668   0.02866   2815.408    3.5567
    28      3945   3439902211520   3439902211520   0.06771   0.02917   2678.551    0.1678
    29      2220   2931447591428   2931447591428   0.10556   0.05818   2582.049    0.6698
    30      2430   3084174913932   3084174913932   0.11069   0.05682   2546.714   -1.1673

# ── R4  (group size: 5,344; showing 30 extreme) ─────────────────
# Cool-core by TPI (TPI > 0); sorted by highest TPI
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     1      7776   1139810558314   1139810558314   0.12082   0.10226     30.102   30.8990
     2      6986   2075691665486   2075691665486   0.09798   0.05422     85.061   21.3347
     3      3799   2440687158262   2440687158262   0.01029   0.05677     99.989   17.0942
     4      8827   2302835566432   2302835566432   0.28598   0.04960   1087.556   14.1757
     5      7564     13818615030     13818615030   0.14989   0.03513     72.696   13.7663
     6      8468    763259283682    763259283682   0.27419   0.04700    213.572   13.2502
     7      1030    367160382822    367160382822   0.08856   0.04327    179.138   12.8944
     8      7938    386718915752    386718915752   0.11002   0.07323    230.381   12.5970
     9      1967   2884039361546   2884039361546   0.12999   0.02997     81.945   11.2423
    10       512   1027305117774   1027305117774   0.08380   0.04324    166.445   10.8667
    11      3244    370454222636    370454222636   0.02138   0.02004    168.150   10.5751
    12      8124    425347569102    425347569102   0.01696   0.04208    194.684   10.4533
    13      4263   3281236963680   3281236963680   0.08772   0.04472     67.047    9.8673
    14      2144   3761991185136   3761991185136   0.06638   0.05122     65.247    9.7400
    15      1161   1849357851018   1849357851018   0.14643   0.02749    123.306    9.3818
    16      6369   2489115425762   2489115425762   0.04986   0.04320     76.328    9.0981
    17      6263   2503649320454   2503649320454   0.04386   0.04726     78.343    9.0960
    18      2706   1918331934154   1918331934154   0.18003   0.01159     35.204    8.8588
    19       657    160404307062    160404307062   0.02454   0.03982     93.214    8.8033
    20      6926   2325903976690   2325903976690   0.22719   0.01830    102.827    8.6620
    21        74    632885704194    632885704194   0.16408   0.04168    143.774    8.2291
    22      5213   1558769449044   1558769449044   0.05707   0.01690    449.276    8.0974
    23      1291   2682112233026   2682112233026   0.15905   0.05454    513.027    8.0662
    24      4275   3591751213202   3591751213202   0.34539   0.03754     85.261    7.8430
    25      1143   1326096507394   1326096507394   0.09609   0.05013   1679.166    7.8119
    26      7948    513715019072    513715019072   0.04511   0.01249     87.467    7.6767
    27      4343   3043401511324   3043401511324   0.30668   0.03452    104.718    7.5179
    28      8018   1284039704436   1284039704436   0.02888   0.02210    283.927    7.4410
    29      4120   2911002167414   2911002167414   0.03029   0.04114    134.541    7.4249
    30      4405   2941696783638   2941696783638   0.43172   0.04156    139.208    7.3049

# ── notR4  (group size: 4,641; showing 30 extreme) ─────────────────
# Non-cool-core by TPI (TPI <= 0); sorted by lowest TPI
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     1      8091   1717114231320   1717114231320   0.20626   0.10237    225.657  -11.3847
     2      6101   1719484725046   1719484725046   0.03121   0.02216     69.862   -9.3425
     3      4085   2560754827208   2560754827208   0.15969   0.07963    355.463   -9.2067
     4      8785   2051082899130   2051082899130   0.09350   0.04120    166.663   -8.2569
     5      9273   3830849758688   3830849758688   0.30381   0.02957    230.518   -8.0376
     6      2987   1305884641928   1305884641928   0.22220   0.12502    328.238   -7.6878
     7      9613   3234418613498   3234418613498   0.28186   0.08022    499.834   -7.3164
     8      2739   1826923823218   1826923823218   0.04755   0.02874    236.040   -6.6401
     9       394    127736737354    127736737354   0.11964   0.17116    293.850   -6.5137
    10      9055   2220349688290   2220349688290   0.22359   0.06371    281.777   -6.2621
    11      8859   2068558474034   2068558474034   0.34169   0.15960    581.934   -6.2549
    12      8727   1714586478624   1714586478624   0.19660   0.07386    519.544   -6.2310
    13      8461    857883065730    857883065730   0.09087   0.12933    560.440   -6.0532
    14      1897   2675434264142   2675434264142   0.12522   0.05126    269.290   -5.8297
    15       468   1272720935774   1272720935774   0.23666   0.07538    499.928   -5.7807
    16      9064   2667410916068   2667410916068   0.16116   0.03523   2866.717   -5.6308
    17      9581   3573267813030   3573267813030   0.11659   0.06583    175.135   -5.6030
    18      9461   2976600437404   2976600437404   0.15132   0.02753    167.581   -5.4301
    19      4197   2529978019728   2529978019728   0.13047   0.06757    238.519   -5.3585
    20      9677   2399108790690   2399108790690   0.10346   0.08298    777.171   -5.2677
    21      4935   3368822925886   3368822925886   0.16013   0.11028   2257.835   -5.1710
    22       941    492882069908    492882069908   0.61987   0.26508    365.889   -5.1485
    23      8604   1527202500612   1527202500612   0.08408   0.04619     87.549   -5.1443
    24      6872   2432871220870   2432871220870   0.05043   0.01476    207.313   -5.1363
    25      8674   1129688026738   1129688026738   0.19766   0.05611    328.090   -5.1287
    26      2389   3224237367988   3224237367988   0.20277   0.06694    116.263   -5.1031
    27      6574   2636784575694   2636784575694   0.13641   0.14543    304.393   -5.0870
    28      2682   1452820473252   1452820473252   0.21475   0.12676    455.853   -5.0625
    29      4199   2602692795488   2602692795488   0.13819   0.13898    372.925   -5.0581
    30      2759   1694453018792   1694453018792   0.10978   0.10990    373.996   -5.0520

# ── R1_andR2  (group size: 4,198; showing 30 extreme) ─────────────────
# R1 AND R2: DM-relaxed + gas-coherent; sorted by smallest delta_2
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     1      1672   2565342063078   2565342063078   0.03597   0.00305    176.941    1.7871
     2      3485    574678674126    574678674126   0.02174   0.00314     57.676    3.3898
     3       279   1388901053880   1388901053880   0.00428   0.00358     59.472    4.4950
     4       156   1392326107832   1392326107832   0.00947   0.00367     76.841    3.5523
     5      9424   2658824804754   2658824804754   0.06710   0.00392    112.189    3.0549
     6      2812    286646397208    286646397208   0.03747   0.00406     58.003    0.9946
     7      8016   1187524032230   1187524032230   0.02457   0.00435    123.351    4.4338
     8      4142   2327990293922   2327990293922   0.02417   0.00477    104.202    0.6622
     9      4454   2482863955748   2482863955748   0.02758   0.00479     71.579    1.6692
    10      3027   1226874198964   1226874198964   0.01389   0.00483    138.653    1.6840
    11      5985    587224153324    587224153324   0.01991   0.00494    156.053    0.5769
    12      8819   2478407342554   2478407342554   0.02726   0.00497    192.483    0.3147
    13      8087   1067803195820   1067803195820   0.02179   0.00498     61.858    2.0720
    14      9139   2441018958874   2441018958874   0.00941   0.00519     94.631    2.5680
    15      8569    938566590192    938566590192   0.06283   0.00522     37.353    2.7995
    16      1387   2278576621838   2278576621838   0.05179   0.00524    137.529    1.0470
    17      4765   2588735529328   2588735529328   0.05043   0.00524     98.703    1.1786
    18        49    140421231998    140421231998   0.05629   0.00535    110.192    0.5248
    19      5596   1247997232620   1247997232620   0.02871   0.00542    235.277   -1.5313
    20      5165   1359632498620   1359632498620   0.01471   0.00544     63.680    2.2965
    21       137    845914939504    845914939504   0.02139   0.00549     69.201    2.2233
    22      6599   2221808590882   2221808590882   0.03688   0.00569     70.523    1.6315
    23      8529    286653502682    286653502682   0.03820   0.00572     83.501    1.5433
    24       720    395008902788    395008902788   0.02009   0.00574     93.343    2.3912
    25      2178   3798217520762   3798217520762   0.01065   0.00583     73.140    2.0350
    26      7665   1786218046806   1786218046806   0.03864   0.00587     70.242    3.1454
    27      6602   2340252825244   2340252825244   0.01928   0.00588    106.738    0.9967
    28      6862   3839606711948   3839606711948   0.00834   0.00590     68.646    2.5690
    29      9763   2746216289014   2746216289014   0.02554   0.00591    104.995    1.6429
    30      2276   2128138398940   2128138398940   0.04707   0.00592     66.900    1.5487

# ── R1_notR2  (group size: 442; showing 30 extreme) ─────────────────
# R1 AND NOT R2: DM-relaxed + gas-displaced; sorted by largest delta_2
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     1      2586    207211894048    207211894048   0.03546   0.16964    117.686   -2.0037
     2        98    586174456736    586174456736   0.04088   0.16804    318.995   -1.0154
     3      7812     77088301252     77088301252   0.05562   0.15260     49.556    1.5565
     4      5334    937735508464    937735508464   0.05469   0.14770     75.440   -1.1444
     5      8111   2002579607656   2002579607656   0.02913   0.14471    205.893   -2.0030
     6      1385   2102992397048   2102992397048   0.06225   0.14105    257.499   -3.4505
     7      6152   1633478964476   1633478964476   0.06713   0.13947    154.235   -1.1725
     8      5232   1416152294876   1416152294876   0.05881   0.13577     85.638   -2.9368
     9      2385   3884324456140   3884324456140   0.05724   0.13448    372.086   -1.9318
    10      3960   3175750294502   3175750294502   0.05083   0.13327     80.357    2.4875
    11      5917   1838827642456   1838827642456   0.05009   0.13285    134.546   -1.7379
    12      5169   1237405165962   1237405165962   0.04894   0.13282    102.266    1.9084
    13      2184   2095716225268   2095716225268   0.02358   0.13131    154.958    3.6884
    14      1838   3080393924082   3080393924082   0.03079   0.12848    159.349   -0.5721
    15      7582    904175941398    904175941398   0.06763   0.12841    310.857   -3.2406
    16       903   1265714034980   1265714034980   0.05093   0.12731    234.184    0.3035
    17      7642   1059723846316   1059723846316   0.02448   0.12603    174.141    0.1332
    18      8368   1394726202516   1394726202516   0.03986   0.12555    346.702   -3.3655
    19      8853   2366388452208   2366388452208   0.05166   0.12513    270.529   -1.6701
    20      5896   1498455047242   1498455047242   0.06773   0.12496     85.194   -0.0311
    21      9691   2530273530164   2530273530164   0.02359   0.12460    226.084   -1.1493
    22      3324   1498613365716   1498613365716   0.06067   0.12383    133.036    1.8378
    23      1399   2630711139140   2630711139140   0.00640   0.12186     61.366    0.1760
    24       668    383634474992    383634474992   0.06876   0.12124    166.899   -0.1970
    25       869   1498391102730   1498391102730   0.05792   0.11963    304.012   -1.9414
    26      9778   2107960695770   2107960695770   0.03961   0.11871    233.650   -1.7449
    27      8076   1174491930440   1174491930440   0.05185   0.11858     75.937    0.0325
    28      1712   2747003545272   2747003545272   0.05764   0.11857    155.193   -2.4028
    29      5704    921182568662    921182568662   0.03637   0.11831    190.594    1.1733
    30      4630   3746923726120   3746923726120   0.02762   0.11695    166.385   -0.4351

# ── notR1_andR2  (group size: 4,039; showing 30 extreme) ─────────────────
# NOT R1 AND R2: DM-disturbed + gas-coherent; sorted by smallest delta_2
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     1      1407   2773907015208   2773907015208   0.07099   0.00145     73.307    0.6743
     2      9404   2163792048826   2163792048826   0.12840   0.00153    269.550   -2.2340
     3      3494    628337741640    628337741640   0.08722   0.00213     75.434    0.8410
     4      5817   1079942340876   1079942340876   0.23501   0.00258    163.315    1.2926
     5      3744   2188193414930   2188193414930   0.12463   0.00324    199.828   -2.4439
     6      1235   1761414313396   1761414313396   0.68149   0.00336     47.617    1.9971
     7      3757   2157743171500   2157743171500   0.80193   0.00337    222.603   -0.4337
     8      5976     12850231768     12850231768   0.12094   0.00344    359.459   -2.1908
     9      7558    224044246108    224044246108   0.13491   0.00402    179.595   -3.0139
    10      8269    553644351104    553644351104   0.44808   0.00406    262.814   -0.7325
    11      6854   3652886455560   3652886455560   0.09550   0.00423    218.717   -0.1718
    12      7906    570510856100    570510856100   0.84727   0.00434    205.895   -0.6639
    13      9317   3666041913306   3666041913306   0.16119   0.00445     86.434    1.2746
    14      7372   3143596298046   3143596298046   0.09758   0.00445    258.776    0.3799
    15      1617   2051003557800   2051003557800   0.13347   0.00454    244.485   -3.3478
