# Shortlist: 30 extreme halos per group
# Catalog: filtered_haloproperties.hdf5  (run_id 5ee0c456)
# Thresholds: delta1<0.07, delta2<0.07, K_core<150 keV cm2, TPI>0
# N per group: 30
#

# ── R1  (30 halos) ──────────────────────────────
# Selection: smallest delta_1 (most DM-relaxed)
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     1      2586    207211894048    207211894048   0.03546   0.16964    117.686   -2.0037
     2        98    586174456736    586174456736   0.04088   0.16804    318.995   -1.0154
     3      7812     77088301252     77088301252   0.05562   0.15260     49.556    1.5565
     4      5334    937735508464    937735508464   0.05469   0.14770     75.440   -1.1444
     5      8111   2002579607656   2002579607656   0.02913   0.14471    205.893   -2.0030
     6      1385   2102992397048   2102992397048   0.06225   0.14105    257.499   -3.4505
     7      6152   1633478964476   1633478964476   0.06713   0.13947    154.235   -1.1725
     8      5232   1416152294876   1416152294876   0.05881   0.13577     85.638   -2.9368
     9      2385   3884324456140   3884324456140   0.05724   0.13448    372.086   -1.9318
    10      3960   3175750294502   3175750294502   0.05083   0.13327     80.357    2.4875
    11      5917   1838827642456   1838827642456   0.05009   0.13285    134.546   -1.7379
    12      5169   1237405165962   1237405165962   0.04894   0.13282    102.266    1.9084
    13      2184   2095716225268   2095716225268   0.02358   0.13131    154.958    3.6884
    14      1838   3080393924082   3080393924082   0.03079   0.12848    159.349   -0.5721
    15      7582    904175941398    904175941398   0.06763   0.12841    310.857   -3.2406
    16       903   1265714034980   1265714034980   0.05093   0.12731    234.184    0.3035
    17      7642   1059723846316   1059723846316   0.02448   0.12603    174.141    0.1332
    18      8368   1394726202516   1394726202516   0.03986   0.12555    346.702   -3.3655
    19      8853   2366388452208   2366388452208   0.05166   0.12513    270.529   -1.6701
    20      5896   1498455047242   1498455047242   0.06773   0.12496     85.194   -0.0311
    21      9691   2530273530164   2530273530164   0.02359   0.12460    226.084   -1.1493
    22      3324   1498613365716   1498613365716   0.06067   0.12383    133.036    1.8378
    23      1399   2630711139140   2630711139140   0.00640   0.12186     61.366    0.1760
